Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13615158,Kolymské povídky,Varlam Shalamov,"Shalamov, Varlam","Sergej Machonin, Jan Machonin","=""""","=""9788087060438""",0,4.36,G plus G,Hardcover,256,2012,1966,,2018/10/26,,,read,,,,1,0
35955775,Malý život,Hanya Yanagihara,"Yanagihara, Hanya",Petra Diestlerová,"=""802071765X""","=""9788020717658""",5,4.29,Odeon,Hardcover,640,2017,2015,2019/10/26,2019/10/10,,,read,,,,1,0
35995489,The Extraordinary Life of Sam Hell,Robert Dugoni,"Dugoni, Robert",,"=""1503949001""","=""9781503949003""",0,4.44,Lake Union Publishing,Hardcover,448,2018,2018,,2018/12/17,to-read,to-read (#16),to-read,,,,0,0
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",0,4.40,Picador,ebook,285,2017,2017,,2018/11/05,to-read,to-read (#5),to-read,,,,0,0
53168115,Šeptuchy,Alena Sabuchová,"Sabuchová, Alena",,"=""""","=""""",5,4.06,Artforum,Hardcover,192,2019,2019,2019/10/27,2019/10/26,,,read,,,,1,0
43924668,"Moc faktov: Desať dôvodov, prečo máme o svete mylné predstavy - a prečo sme na tom lepšie, ako si myslíme",Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""8022209937""","=""9788022209939""",5,4.36,Tatran,Hardcover,336,2019,2018,2020/02/15,2020/02/15,,,read,,,,1,0
34843979,"Náhle, sami",Isabelle Autissier,"Autissier, Isabelle",Mária Michalková,"=""8089737471""","=""9788089737475""",5,3.81, Inaque,Hardcover,144,2017,2015,2020/02/15,2020/02/15,,,read,,,,1,0
34102640,Východ,Andrzej Stasiuk,"Stasiuk, Andrzej",Tomáš Horváth,"=""""","=""""",4,3.78,Slovart,Hardcover,216,2017,2014,2020/01/22,2020/01/22,,,read,,,,1,0
48915663,21 lekcí pro 21. století,Yuval Noah Harari,"Harari, Yuval Noah",,"=""8073356120""","=""9788073356125""",5,4.16,Leda,Hardcover,392,2019,2018,2020/01/22,2020/01/22,,,read,,,,1,0
18738925,Haličské poviedky,Andrzej Stasiuk,"Stasiuk, Andrzej",Jozef Marušiak,"=""8080854653""","=""9788080854652""",4,3.65,"SLOVART, s.r.o.",Hardcover,136,2008,1995,2020/01/01,2020/01/01,,,read,,,,1,0
30078133,Americký cisár,Martin Pollack,"Pollack, Martin",Michal Hvorecký,"=""""","=""""",5,4.17,Absynt,Paperback,240,2016,2010,2019/12/30,2019/12/29,,,read,,,,1,0
22722895,Sedem dobrých rokov,Etgar Keret,"Keret, Etgar",Silvia Singer,"=""8081500618""","=""9788081500619""",5,4.15,Artforum ,Hardcover,156,2014,2013,2019/12/29,2019/12/29,,,read,,,,1,0
20485568,Obrázky z domova,Karel Čapek,"Čapek, Karel",,"=""""","=""""",4,3.94,,Unknown Binding,,,1953,2019/12/28,2019/12/28,,,read,,,,1,0
39730766,Kniha o moři,Morten A. Strøksnes,"Strøksnes, Morten A.",,"=""8025723607""","=""9788025723609""",5,4.01,Argo,Hardcover,254,2018,2015,,2019/12/21,,,read,,,,2,0
39291023,Raději zešílet v divočině: Setkání s šumavskými samotáři,Aleš Palán,"Palán, Aleš",Jan Šibík,"=""8072603787""","=""9788072603787""",5,4.41,Prostor,Hardcover,368,2018,2018,2019/12/27,2019/12/27,,,read,,,,1,0
38570614,Mezi třemi hranicemi,Ivan Klíma,"Klíma, Ivan",,"=""""","=""""",5,3.50,Československý spisovatel,Hardcover,207,1960,1960,2019/12/27,2019/12/27,,,read,,,,1,0
3381514,The Secret Carp,Chris Yates,"Yates, Chris",,"=""0811700453""","=""9780811700450""",0,4.74,Stackpole Books,Hardcover,176,2003,2003,,2019/12/22,to-read,to-read (#28),to-read,,,,0,0
15752349,Gone Fishing: A Novel in Verse,Tamera Will Wissinger,"Wissinger, Tamera Will",Matthew Cordell,"=""0547820119""","=""9780547820118""",0,4.04,Houghton Mifflin Books for Children,Hardcover,128,2013,2013,,2019/12/22,to-read,to-read (#27),to-read,,,,0,0
22815656,"Dom vo dne, dom v noci",Olga Tokarczuk,"Tokarczuk, Olga",Karol Chmel,"=""8085549344""","=""9788085549348""",5,4.08,Aspekt,Paperback,380,2002,1998,2019/12/21,2019/11/03,,,read,,,,1,0
1599242,"Olaus Magnus: A Description of the Northern Peoples, 1555, Vol. 2 (Hakluyt Society, Second Series, #187)",Olaus Magnus,"Magnus, Olaus","P.G. Foote, Peter Fisher, Humphrey Higgens, John Granlund","=""0904180581""","=""9780904180589""",0,4.17,Hakluyt Society,Hardcover,770,1998,1998,,2019/12/15,to-read,to-read (#26),to-read,,,,0,0
36570620,Korporácio,Bene,"Bene, Bene",Raper Bene,"=""8097287404""","=""9788097287405""",4,4.12,Benkovič Marián,Paperback,54,2017,,2019/11/09,2019/11/09,,,read,,,,1,0
7570403,Tri ženy pod orechom,Václav Pankovčín,"Pankovčín, Václav",Fero Guldan,"=""8089129668""","=""""",5,4.35,KK Bagala,Paperback,88,2007,1996,2019/11/01,2019/11/01,,,read,,,,1,0
40339745,Slon na Zemplíne,Andrej Bán,"Bán, Andrej",,"=""8089916546""","=""9788089916542""",5,4.07,Absynt,Paperback,248,2018,2018,2019/11/01,2019/10/27,,,read,,,,1,0
534671,The Long Walk,Richard  Bachman,"Bachman, Richard",Stephen        King,"=""0451087542""","=""9780451087546""",0,4.06,Signet,Mass Market Paperback,245,1979,1978,,2019/10/27,to-read,to-read (#25),to-read,,,,0,0
7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,"Nafisi, Azar",,"=""081297106X""","=""9780812971064""",3,3.66,Random House Trade Paperbacks,Paperback,356,2003,2003,2019/10/15,2019/08/27,,,read,,,,1,0
